provins_id;provins_navn;;
AB;Alberta;;"INSERT INTO provins VALUES('AB', 'Alberta');"
BC;British Columbia;;"INSERT INTO provins VALUES('BC', 'British Columbia');"
MB;Manitoba;;"INSERT INTO provins VALUES('MB', 'Manitoba');"
NB;New Brunswick;;"INSERT INTO provins VALUES('NB', 'New Brunswick');"
NL;Newfoundland and Labrador;;"INSERT INTO provins VALUES('NL', 'Newfoundland and Labrador');"
NT;Northwest Territories;;"INSERT INTO provins VALUES('NT', 'Northwest Territories');"
NS;Nova Scotia;;"INSERT INTO provins VALUES('NS', 'Nova Scotia');"
NU;Nunavut;;"INSERT INTO provins VALUES('NU', 'Nunavut');"
ON;Ontario;;"INSERT INTO provins VALUES('ON', 'Ontario');"
PE;Prince Edward Island;;"INSERT INTO provins VALUES('PE', 'Prince Edward Island');"
QC;Quebec;;"INSERT INTO provins VALUES('QC', 'Quebec');"
SK;Saskatchewan;;"INSERT INTO provins VALUES('SK', 'Saskatchewan');"
YT;Yukon;;"INSERT INTO provins VALUES('YT', 'Yukon');"
